Tickersymbol,Security,SECfilings,GICSSector,GICSSubIndustry,AddressofHeadquarters,Datefirstadded,CIK,AccountsPayable,AccountsReceivable,Add'l income/expenseitems,AfterTaxROE,CapitalExpenditures,CapitalSurplus,CashRatio,CashandCashEquivalents,ChangesinInventories,CommonStocks,CostofRevenue,CurrentRatio,DeferredAssetCharges,DeferredLiabilityCharges,Depreciation,EarningsBeforeInterestandTax,EarningsBeforeTax,EffectofExchangeRate,EquityEarnings/LossUnconsolidatedSubsidiary,FixedAssets,Goodwill,GrossMargin,GrossProfit,IncomeTax,IntangibleAssets,InterestExpense,Inventory,Investments,Liabilities,Long-TermDebt,Long-TermInvestments,MinorityInterest,Misc.Stocks,NetBorrowings,NetCashFlow,NetCashFlow-Operating,NetCashFlows-Financing,NetCashFlows-Investing,NetIncome,NetIncomeAdjustments,NetIncomeApplicabletoCommonShareholders,NetIncome-Cont.Operations,NetReceivables,Non-RecurringItems,OperatingIncome,OperatingMargin,OtherAssets,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquity,OtherFinancingActivities,OtherInvestingActivities,OtherLiabilities,OtherOperatingActivities,OtherOperatingItems,Pre-TaxMargin,Pre-TaxROE,ProfitMargin,QuickRatio,ResearchandDevelopment,RetainedEarnings,SaleandPurchaseofStock,"Sales,GeneralandAdmin.",Short-TermDebt /CurrentPortionofLong-TermDebt,Short-TermInvestments,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,TotalLiabilities,TotalLiabilities&Equity,TotalRevenue,TreasuryStock,EarningsPerShare,EstimatedSharesOutstanding,YOYReturns
FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",1/0/1900,1136893,1195600000,-102800000,136800000,7,-133300000,10209700000,29,687600000,0,4300000,4393200000,149,253000000,2688800000,680300000,1236000000,1036900000,-58800000,0,610700000,14744700000,33,2202000000,378800000,6742800000,199100000,0,0,91100000,11497800000,0,85800000,0,1655800000,194800000,1136900000,1014700000,-1898000000,650800000,-28300000,631500000,658100000,2190000000,0,1099200000,17,406200000,633800000,615300000,-279400000,-40900000,-1764700000,311500000,-154200000,0,16,11,10,149,0,3072900000,-263300000,1102800000,553000000,0,26268800000,3511400000,2363900000,9321000000,16947800000,26268800000,6595200000,-3686500000,2.22,293153153.2,0.2481
FSLR,First Solar Inc,reports,Information Technology,Semiconductors,"Tempe, Arizona",10/16/2009,1274494,836392000,-340292000,10146000,10,-166438000,2742795000,190,1126826000,113537000,102000,2659728000,348,357693000,0,257825000,526810000,519835000,-19272000,20430000,1391895000,84985000,26,919267000,-6156000,110002000,6975000,380424000,11088000,-34060000,251325000,417692000,0,0,139965000,-355228000,-360919000,137103000,-112140000,546421000,298000,546421000,546421000,561076000,16818000,516664000,14,1608478000,573806000,86318000,15480000,-20569000,43210000,555719000,-904648000,0,15,9,15,309,130593000,2790110000,0,255192000,38090000,703454000,7316331000,3345586000,960800000,5548487000,1767844000,7316331000,3578995000,0,5.42,100815682.7,-0.5137
FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",1/0/1900,798354,1024000000,-2000000,-85000000,27,-359000000,952000000,18,275000000,0,4000000,2909000000,100,0,726000000,417000000,1226000000,1057000000,0,32000000,396000000,5200000000,45,2345000000,377000000,1872000000,169000000,0,1000000,144000000,4288000000,0,0,0,414000000,-19000000,1346000000,-1005000000,-360000000,712000000,136000000,712000000,712000000,802000000,0,1311000000,25,366000000,429000000,473000000,-74000000,-6000000,-2000000,164000000,-61000000,0,20,40,14,100,0,8064000000,-1451000000,1034000000,5000000,0,9340000000,1506000000,1502000000,2660000000,6680000000,9340000000,5254000000,-6286000000,3.04,234210526.3,0.1620
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,354908,282731000,28258000,13768000,15,-68234000,0,81,472785000,-74816000,1374000,803506000,220,55429000,3623000,49534000,319532000,305446000,-33020000,0,272629000,596316000,48,753561000,63760000,141302000,14086000,393092000,0,16460000,93750000,0,0,0,-15000000,-58589000,275814000,-166538000,-134845000,241686000,17167000,241686000,241686000,326098000,1361000,305764000,20,53210000,95539000,37920000,-125126000,-24000,-66611000,74167000,-2475000,0,20,19,16,153,132892000,1773267000,-98358000,313544000,264694000,0,2406400000,1287514000,585345000,1649515000,756885000,2406400000,1557067000,0,1.73,139702890.2,0.2892
GPN,Global Payments Inc,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/2016,1123360,326875000,-8069000,4949000,37,-92550000,148742000,22,650739000,0,0,1022107000,109,30428000,202855000,137505000,461546000,417110000,-56288000,0,374143000,1491833000,63,1751611000,107995000,560136000,44436000,0,0,-69513000,1678283000,0,105577000,0,546819000,68867000,424701000,141375000,-440921000,278040000,119714000,278040000,278040000,202938000,0,456597000,16,32846000,2436238000,2033900000,-185992000,0,-348371000,19422000,-64051000,0,15,55,10,109,0,795226000,-365527000,1295014000,654413000,0,5779301000,3289915000,3015188000,757976000,5021325000,5779301000,2773718000,0,4.15,66997590.36,0.0759
HRS,Harris Corporation,reports,Information Technology,Telecommunications Equipment,"Melbourne, Florida",9/22/2008,202058,1816000000,-17000000,-106000000,10,-148000000,0,21,481000000,20000000,124000000,3348000000,140,502000000,12000000,244000000,607000000,477000000,-23000000,0,1165000000,6348000000,34,1735000000,143000000,1775000000,130000000,1015000000,0,30000000,5053000000,0,5000000,0,2729000000,-80000000,854000000,2373000000,-3284000000,334000000,190000000,334000000,334000000,1255000000,46000000,713000000,14,154000000,432000000,295000000,2015000000,-55000000,-3136000000,2386000000,53000000,0,9,14,7,95,0,1258000000,-103000000,976000000,163000000,0,13127000000,3183000000,2274000000,3397000000,9725000000,13122000000,5083000000,0,3.15,106031746,0.1791
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/2015,1645590,13718000000,690000000,2737000000,10,-3280000000,35248000000,58,12987000000,34000000,17000000,35507000000,128,0,0,3775000000,4079000000,4079000000,0,-76000000,9636000000,24178000000,29,14616000000,918000000,1084000000,0,1774000000,-71000000,637000000,12608000000,15864000000,70000000,0,170000000,3145000000,4958000000,-2232000000,419000000,3161000000,-1488000000,3161000000,3085000000,9832000000,1414000000,4150000000,8,0,4324000000,5281000000,-6599000000,0,3770000000,13022000000,-1851000000,755000000,8,13,6,120,2298000000,2782000000,-2543000000,8419000000,3532000000,0,79679000000,28917000000,22531000000,31448000000,48231000000,79679000000,50123000000,0,1.84,1717934783,0.5223
HPQ,HP Inc.,reports,Information Technology,Computer Hardware,"Palo Alto, California",12/31/1974,47217,17811000000,565000000,0,64,-433000000,1030000000,33,6288000000,-291000000,17000000,39240000000,98,0,0,332000000,3761000000,3761000000,0,0,1736000000,5622000000,19,8998000000,1095000000,0,0,4484000000,7000000,877000000,6758000000,0,0,0,-2087000000,-11145000000,3230000000,-14423000000,48000000,2496000000,739000000,2496000000,2666000000,4114000000,205000000,3549000000,7,3184000000,3582000000,919000000,-1438000000,-10375000000,474000000,7333000000,-1488000000,16000000,8,97,5,74,1209000000,-3498000000,-1113000000,4019000000,78000000,0,29010000000,18468000000,18808000000,-3889000000,32899000000,29010000000,48238000000,0,1.44,1733333333,0.2533
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863,12030000000,65000000,0,16,-9625000000,0,84,5560000000,119000000,25373000000,23196000000,175,0,1730000000,7790000000,12936000000,12936000000,0,506000000,36171000000,14099000000,61,36191000000,2620000000,9494000000,0,5553000000,-38000000,-31000000,20649000000,10896000000,0,882000000,1219000000,-9748000000,21808000000,-5739000000,-25817000000,10316000000,3034000000,10316000000,10822000000,4690000000,1886000000,12874000000,22,7159000000,8166000000,3638000000,106000000,-675000000,-16154000000,3538000000,515000000,294000000,22,20,17,148,12740000000,40747000000,-1479000000,8397000000,4634000000,11539000000,1.13E+11,35508000000,20302000000,66226000000,47101000000,1.13E+11,59387000000,0,0,0,0.0528
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",1/0/1900,51143,16788000000,812000000,724000000,92,-3579000000,0,24,7686000000,133000000,53262000000,41057000000,124,4822000000,3771000000,3855000000,16413000000,15945000000,-473000000,0,10727000000,32021000000,50,40684000000,2581000000,3487000000,468000000,1551000000,-629000000,59000000,33428000000,15200000000,162000000,0,19000000,-790000000,17008000000,-9166000000,-8159000000,13190000000,2407000000,13190000000,13364000000,28554000000,0,15689000000,19,1734000000,4205000000,11021000000,-29607000000,0,-3952000000,24603000000,-3448000000,0,20,112,16,120,5247000000,1.46E+11,-4287000000,19748000000,6461000000,508000000,1.1E+11,42504000000,34269000000,14262000000,96233000000,1.1E+11,81741000000,-1.56E+11,13.48,978486646.9,0.2061
